broken year,industry,location,funded status,survival time,cause of failure
2017,Finance,Hunan,No Funding,1705,supervision
2017,E-Commerce,Shanghai,No Funding,1947,no business model
2017,Entertainment,Guangdong,No Funding,2039,pivot gone bad
2017,Social Media,Guangdong,Angel Round,2039,pivot gone bad
2017,Tool,Beijing,Angel Round,2160,no business model
2017,Game,Hubei,No Funding,2009,get outcompeted
2017,Marketing,Beijing,Angel Round,1886,pivot gone bad
2017,Health,Fujian,Angel Round,1521,pivot gone bad
2017,E-Commerce,Guangdong,No Funding,2100,no market need
2017,Social Media,Shanghai,No Funding,1917,no market need
2017,E-Commerce,Beijing,Angel Round,1766,no market need
2017,Entertainment,Jiangsu,No Funding,1582,no business model
2017,E-Commerce,Beijing,Series A,1978,ran out of cash
2017,Logistics,Overseas,Series B,1644,no business model
2017,Enterprise Service,Guangdong,Angel Round,2191,get outcompeted
2017,Real Estate,Shanghai,Angel Round,1917,no market need
2017,Social Media,Guangdong,No Funding,1766,pivot gone bad
2017,Travel,Shanghai,No Funding,1825,no business model
2017,Game,Beijing,Series A,1766,poor marketing
2017,Game,Fujian,No Funding,1978,pivot gone bad
2017,Entertainment,Beijing,Series A,2009,lose focus
2017,Education,Beijing,Angel Round,2070,product mistimed
2017,E-Commerce,Beijing,No Funding,1613,poor product
2017,Hardware,Beijing,Series A,1856,pricing/cost issue
2017,Marketing,Shandong,Series C,2191,pivot gone bad
2017,Hardware,Taiwan,Angel Round,1674,no market need
2017,Game,Shanghai,Angel Round,1947,burn out
2017,Travel,Beijing,Series A+,1644,get outcompeted
2017,Education,Beijing,No Funding,4323,no market need
2017,Entertainment,Beijing,No Funding,1644,lose focus
2017,Entertainment,Beijing,Angel Round,1825,pivot gone bad
2017,Entertainment,Beijing,Angel Round,1886,no business model
2017,Finance,Zhejiang,No Funding,1521,supervision
2017,Health,Beijing,No Funding,1766,no business model
2017,Tool,Shandong,No Funding,1825,legal challenges
2017,Real Estate,Beijing,No Funding,2100,no business model
2017,Entertainment,Beijing,Angel Round,1917,no market need
2017,Local Business,Overseas,Series B,2131,get outcompeted
2017,Health,Beijing,Angel Round,1886,ran out of cash
2017,E-Commerce,Shaanxi,Series A,2131,no business model
2017,Local Business,Shanghai,No Funding,1825,lose focus
2017,Enterprise Service,Guangdong,No Funding,1886,get outcompeted
2017,Transportation,Beijing,No Funding,2375,no business model
2017,Education,Beijing,No Funding,1735,pricing/cost issue
2017,Local Business,Beijing,No Funding,2100,get outcompeted
2017,Finance,Beijing,Angel Round,1552,product mistimed
2017,E-Commerce,Shanghai,Angel Round,1735,no business model
2017,Real Estate,Sichuan,Angel Round,1825,get outcompeted
2017,Social Media,Hunan,Angel Round,1735,ran out of cash
2017,Finance,Guangdong,Series A,1886,founder
2017,E-Commerce,Guangdong,No Funding,1917,get outcompeted
2017,Local Business,Beijing,Series A,1825,founder
2017,E-Commerce,Shanghai,No Funding,1340,no business model
2017,Game,Beijing,No Funding,2131,pivot gone bad
2017,Finance,Fujian,No Funding,2039,ran out of cash
2017,Transportation,Zhejiang,No Funding,1825,get outcompeted
2017,Marketing,Beijing,No Funding,1735,no business model
2017,Education,Liaoning,No Funding,2131,poor marketing
2017,Tool,Beijing,No Funding,2100,pivot gone bad
2017,E-Commerce,Beijing,No Funding,1735,no business model
2017,Travel,Beijing,Angel Round,2009,poor product
2017,Local Business,Guangdong,Angel Round,1947,pivot gone bad
2017,Enterprise Service,Beijing,Angel Round,1735,product mistimed
2017,Real Estate,Beijing,No Funding,2100,no business model
2017,Game,Guangdong,Series A,1917,legal challenges
2017,Tool,Sichuan,No Funding,1705,no investor interest
2017,Entertainment,Beijing,Angel Round,1825,product mistimed
2017,E-Commerce,Zhejiang,No Funding,1886,pivot gone bad
2017,Sports,Shanghai,Angel Round,2191,legal challenges
2017,Education,Beijing,No Funding,1644,not the right team
2017,Transportation,Shanghai,Series B,1552,pricing/cost issue
2017,Tool,Beijing,Angel Round,2191,no market need
2017,Entertainment,Beijing,Angel Round,1552,no market need
2017,Education,Guangdong,No Funding,1766,no business model
2017,Social Media,Guangdong,No Funding,1825,product mistimed
2017,Enterprise Service,Beijing,Angel Round,1613,get outcompeted
2017,Entertainment,Chongqing,Series A,1825,poor marketing
2017,E-Commerce,Zhejiang,No Funding,2466,no business model
2017,Local Business,Liaoning,No Funding,2131,pivot gone bad
2017,Transportation,Zhejiang,Series A,1947,get outcompeted
2017,Education,Beijing,No Funding,2160,no business model
2017,Local Business,Shanghai,Pre-A Round,1582,pricing/cost issue
2017,E-Commerce,Beijing,No Funding,2160,no business model
2017,Health,Guangdong,No Funding,1825,no business model
2017,Education,Shanghai,Angel Round,1856,no business model
2017,Entertainment,Shanghai,Angel Round,1705,pivot gone bad
2017,Entertainment,Beijing,No Funding,1825,pivot gone bad
2017,Tool,Shanghai,No Funding,1582,no market need
2017,Transportation,Shanghai,Angel Round,1705,no market need
2017,Local Business,Beijing,Angel Round,1552,ran out of cash
2017,Health,Beijing,Angel Round,2160,no business model
2017,E-Commerce,Beijing,No Funding,2100,get outcompeted
2017,Tool,Beijing,Angel Round,2191,no business model
2017,Entertainment,Shanghai,Series A,1978,no market need
2017,Entertainment,Shanghai,Angel Round,1582,product mistimed
2017,Entertainment,Beijing,Angel Round,1552,pricing/cost issue
2017,Local Business,Beijing,Angel Round,1521,no market need
2017,Tool,Guangdong,Angel Round,1644,no market need
2017,Enterprise Service,Beijing,Series A,2070,get outcompeted
2017,E-Commerce,Yunnan,No Funding,1613,no investor interest
2017,Enterprise Service,Sichuan,No Funding,1582,pivot gone bad
2017,Health,Chongqing,No Funding,2191,no business model
2017,Local Business,Zhejiang,Angel Round,2191,get outcompeted
2017,Enterprise Service,Beijing,No Funding,1978,get outcompeted
2017,Education,Shanghai,No Funding,1674,no business model
2017,Local Business,Beijing,Angel Round,1552,no market need
2017,New Industry,Beijing,Angel Round,1521,ran out of cash
2017,Social Media,Shanghai,No Funding,2770,no business model
